GeneID,GO_ID
11350,GO:0005654
11350,GO:0005730
11350,GO:0005737
11350,GO:0005739
11350,GO:0005829
11350,GO:0005856
11350,GO:0005886
11350,GO:0006281
11350,GO:0006468
11350,GO:0006897
11350,GO:0006909
11350,GO:0006914
11350,GO:0006915
11350,GO:0006974
11350,GO:0006979
11350,GO:0007155
11350,GO:0007173
11350,GO:0007204
11350,GO:0007229
11350,GO:0007249
11350,GO:0007611
11350,GO:0008047
11350,GO:0008306
11350,GO:0009410
11350,GO:0009791
11350,GO:0010595
11350,GO:0014069
11350,GO:0015629
11350,GO:0016301
11350,GO:0016604
11350,GO:0016740
11350,GO:0018108
11350,GO:0019899
11350,GO:0019901
11350,GO:0019904
11350,GO:0019905
11350,GO:0021587
11350,GO:0022408
11350,GO:0030035
11350,GO:0030036
11350,GO:0030041
11350,GO:0030145
11350,GO:0030182
11350,GO:0030425
11350,GO:0030426
11350,GO:0030514
11350,GO:0030516
11350,GO:0030845
11350,GO:0031113
11350,GO:0031252
11350,GO:0032489
11350,GO:0032729
11350,GO:0032743
11350,GO:0032956
11350,GO:0032991
11350,GO:0033554
11350,GO:0033690
11350,GO:0034446
11350,GO:0034599
11350,GO:0034976
11350,GO:0035556
11350,GO:0035791
11350,GO:0038189
11350,GO:0038191
11350,GO:0042100
11350,GO:0042127
11350,GO:0042169
11350,GO:0042770
11350,GO:0043005
11350,GO:0043025
11350,GO:0043065
11350,GO:0043123
11350,GO:0043525
11350,GO:0043539
11350,GO:0043542
11350,GO:0045580
11350,GO:0045595
11350,GO:0045907
11350,GO:0045930
11350,GO:0045931
11350,GO:0046632
11350,GO:0046872
11350,GO:0046875
11350,GO:0048008
11350,GO:0048013
11350,GO:0048146
11350,GO:0048471
11350,GO:0048536
11350,GO:0048538
11350,GO:0050798
11350,GO:0050852
11350,GO:0050853
11350,GO:0050885
11350,GO:0051015
11350,GO:0051019
11350,GO:0051049
11350,GO:0051281
11350,GO:0051450
11350,GO:0051496
11350,GO:0051649
11350,GO:0051726
11350,GO:0051894
11350,GO:0060020
11350,GO:0060038
11350,GO:0060563
11350,GO:0065008
11350,GO:0070064
11350,GO:0070097
11350,GO:0070301
11350,GO:0070373
11350,GO:0070374
11350,GO:0071103
11350,GO:0071222
11350,GO:0071560
11350,GO:0071871
11350,GO:0072359
11350,GO:0090050
11350,GO:0098609
11350,GO:0098978
11350,GO:0099150
11350,GO:0120031
11350,GO:0141214
11350,GO:1900006
11350,GO:1900026
11350,GO:1900272
11350,GO:1901701
11350,GO:1902532
11350,GO:1903053
11350,GO:1903055
11350,GO:1903210
11350,GO:1903905
11350,GO:1904157
11350,GO:1904518
11350,GO:1905244
11350,GO:1905555
11350,GO:1990837
11350,GO:2000042
11350,GO:2000096
11350,GO:2000352
11350,GO:2000406
11350,GO:2000772
11350,GO:2000773
11352,GO:0000166
11352,GO:0000287
11352,GO:0001784
11352,GO:0001843
11352,GO:0001891
11352,GO:0002118
11352,GO:0004672
11352,GO:0004713
11352,GO:0004715
11352,GO:0005515
11352,GO:0005524
11352,GO:0005737
11352,GO:0005856
11352,GO:0005886
11352,GO:0006468
11352,GO:0006909
11352,GO:0006930
11352,GO:0007015
11352,GO:0007155
11352,GO:0007173
11352,GO:0007200
11352,GO:0007204
11352,GO:0007249
11352,GO:0007612
11352,GO:0007628
11352,GO:0008047
11352,GO:0008104
11352,GO:0008542
11352,GO:0009791
11352,GO:0010976
11352,GO:0015629
11352,GO:0016301
11352,GO:0016322
11352,GO:0016740
11352,GO:0018108
11352,GO:0019899
11352,GO:0021587
11352,GO:0022408
11352,GO:0030027
11352,GO:0030036
11352,GO:0030145
11352,GO:0030182
11352,GO:0031223
11352,GO:0031252
11352,GO:0031410
11352,GO:0032729
11352,GO:0032743
11352,GO:0034599
11352,GO:0035024
11352,GO:0035264
11352,GO:0035640
11352,GO:0043123
11352,GO:0043197
11352,GO:0046632
